Month,Percentage,State,Hospital Bed Needed,ICU Beds Needed
12,0.6,NC,32377.00 ,6972.00 
12,0.6,ND,2389.00 ,512.00 
12,0.6,NE,5941.00 ,1280.00 
12,0.6,NH,4475.00 ,969.00 
12,0.6,NJ,29022.00 ,6247.00 
12,0.6,NM,6655.00 ,1443.00 
12,0.6,NV,9226.00 ,1981.00 
12,0.6,NY,64977.00 ,13975.00 
12,0.6,OH,37639.00 ,8150.00 
12,0.6,OK,12263.00 ,2641.00 
12,0.6,OR,13256.00 ,2873.00 
12,0.6,PA,42530.00 ,9262.00 
12,0.6,PR,11599.00 ,2545.00 
12,0.6,RI,3536.00 ,764.00 
12,0.6,SC,15960.00 ,3463.00 
12,0.6,SD,2700.00 ,585.00 
12,0.6,TN,21304.00 ,4597.00 
12,0.6,TX,82895.00 ,17491.00 
12,0.6,UT,8497.00 ,1781.00 
12,0.6,VA,26956.00 ,5765.00 
12,0.6,VT,2127.00 ,463.00 
12,0.6,WA,23063.00 ,4939.00 
12,0.6,WI,18687.00 ,4036.00 
12,0.6,WV,6187.00 ,1358.00 
12,0.6,WY,1850.00 ,397.00 
18,0.2,AK,487.00 ,101.00 
18,0.2,AL,3411.00 ,738.00 
18,0.2,AR,2074.00 ,450.00 
18,0.2,AZ,4742.00 ,1031.00 
18,0.2,CA,26800.00 ,5698.00 
18,0.2,CO,3750.00 ,796.00 
18,0.2,CT,2577.00 ,557.00 
18,0.2,DC,491.00 ,103.00 
18,0.2,DE,677.00 ,148.00 
18,0.2,FL,14977.00 ,3308.00 
18,0.2,GA,6900.00 ,1464.00 
18,0.2,HI,1019.00 ,222.00 
18,0.2,IA,2181.00 ,473.00 
18,0.2,ID,1110.00 ,239.00 
18,0.2,IL,8938.00 ,1916.00 
18,0.2,IN,4561.00 ,981.00 
18,0.2,KS,1982.00 ,427.00 
18,0.2,KY,3096.00 ,667.00 
18,0.2,LA,3204.00 ,686.00 
18,0.2,MA,4899.00 ,1054.00 
18,0.2,MD,4191.00 ,896.00 
18,0.2,ME,990.00 ,218.00 
18,0.2,MI,7026.00 ,1520.00 
18,0.2,MN,3805.00 ,818.00 
18,0.2,MO,4266.00 ,923.00 
18,0.2,MS,2047.00 ,440.00 
18,0.2,MT,737.00 ,161.00 
18,0.2,NC,7039.00 ,1516.00 
18,0.2,ND,519.00 ,111.00 
18,0.2,NE,1292.00 ,278.00 
18,0.2,NH,973.00 ,211.00 
18,0.2,NJ,6309.00 ,1358.00 
18,0.2,NM,1447.00 ,314.00 
18,0.2,NV,2006.00 ,431.00 
18,0.2,NY,14125.00 ,3038.00 
18,0.2,OH,8182.00 ,1772.00 
18,0.2,OK,2666.00 ,574.00 
18,0.2,OR,2882.00 ,625.00 
18,0.2,PA,9246.00 ,2013.00 
18,0.2,PR,2522.00 ,553.00 
18,0.2,RI,769.00 ,166.00 
18,0.2,SC,3470.00 ,753.00 
18,0.2,SD,587.00 ,127.00 
18,0.2,TN,4631.00 ,999.00 
18,0.2,TX,18021.00 ,3802.00 
18,0.2,UT,1847.00 ,387.00 
18,0.2,VA,5860.00 ,1253.00 
18,0.2,VT,462.00 ,101.00 
18,0.2,WA,5014.00 ,1074.00 
18,0.2,WI,4062.00 ,877.00 
18,0.2,WV,1345.00 ,295.00 
18,0.2,WY,402.00 ,86.00 
18,0.4,AK,974.00 ,203.00 
18,0.4,AL,6822.00 ,1476.00 
18,0.4,AR,4147.00 ,900.00 
18,0.4,AZ,9485.00 ,2063.00 
18,0.4,CA,53600.00 ,11396.00 
18,0.4,CO,7499.00 ,1591.00 
18,0.4,CT,5154.00 ,1115.00 
