State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Proejcted Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
TX,"55,588","7,149",0.61,0.64,"21,803","38,695","2,573","4,861","20,206,495","3,215,906","12,123,897","2,486,847","524,743","165,790",7.60 ,4.28 ,2.98 ,"82,895",3.80 ,2.14 ,1.49 ,"54,062",2.48 ,1.40 ,0.97 ,"34,983",13.60 ,7.20 ,4.89 ,"17,491",6.80 ,3.60 ,2.45 ,"11,407",4.43 ,2.35 ,1.60 
UT,"4,869",687,0.57,0.52,"2,116","3,493",328,507,"2,082,530","307,095","1,249,518","254,913","53,422","16,994",8.03 ,4.87 ,3.49 ,"8,497",4.02 ,2.43 ,1.75 ,"5,542",2.62 ,1.59 ,1.14 ,"3,561",10.86 ,7.02 ,5.18 ,"1,781",5.43 ,3.51 ,2.59 ,"1,161",3.54 ,2.29 ,1.69 
VA,"17,469","2,007",0.69,0.65,"5,373","11,421",698,"1,353","6,499,678","1,187,867","3,899,807","808,672","172,945","53,911",10.03 ,4.72 ,3.09 ,"26,956",5.02 ,2.36 ,1.54 ,"17,580",3.27 ,1.54 ,1.01 ,"11,530",16.52 ,8.52 ,5.74 ,"5,765",8.26 ,4.26 ,2.87 ,"3,760",5.39 ,2.78 ,1.87 
VT,"1,305",94,0.64,0.45,475,890,52,73,"504,856","109,551","302,914","63,798","13,901","4,253",8.95 ,4.78 ,3.26 ,"2,127",4.48 ,2.39 ,1.63 ,"1,387",2.92 ,1.56 ,1.06 ,927,17.83 ,12.70 ,9.86 ,463,8.90 ,6.34 ,4.93 ,302,5.81 ,4.14 ,3.21 
WA,"11,808","1,493",0.65,0.65,"4,123","7,966",525,"1,009","5,554,591","1,029,040","3,332,755","691,879","148,174","46,125",11.19 ,5.79 ,3.91 ,"23,063",5.59 ,2.90 ,1.95 ,"15,041",3.65 ,1.89 ,1.27 ,"9,878",18.82 ,9.79 ,6.62 ,"4,939",9.41 ,4.89 ,3.31 ,"3,221",6.14 ,3.19 ,2.16 
WI,"11,669","1,506",0.58,0.55,"4,850","8,260",676,"1,091","4,469,267","896,724","2,681,560","560,610","121,083","37,374",7.71 ,4.52 ,3.20 ,"18,687",3.85 ,2.26 ,1.60 ,"12,187",2.51 ,1.48 ,1.04 ,"8,072",11.94 ,7.40 ,5.36 ,"4,036",5.97 ,3.70 ,2.68 ,"2,632",3.89 ,2.41 ,1.75 
WV,"6,224",643,0.6,0.65,"2,466","4,345",223,433,"1,459,974","336,326","875,984","185,608","40,729","12,374",5.02 ,2.85 ,1.99 ,"6,187",2.51 ,1.42 ,0.99 ,"4,035",1.64 ,0.93 ,0.65 ,"2,715",12.17 ,6.27 ,4.22 ,"1,358",6.09 ,3.14 ,2.11 ,885,3.97 ,2.04 ,1.38 
WY,"1,951",102,0.52,0.36,931,"1,441",65,84,"444,842","84,239","266,905","55,514","11,916","3,701",3.98 ,2.57 ,1.90 ,"1,850",1.99 ,1.28 ,0.95 ,"1,207",1.30 ,0.84 ,0.62 ,794,12.22 ,9.45 ,7.78 ,397,6.11 ,4.73 ,3.89 ,259,3.98 ,3.08 ,2.54 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
