Month,Percentage,City,State,Percentage of Potentially Available Beds Needed,Percentage of Potentially Available ICU Beds Needed
6,0.4,New Brunswick,NJ,3.34 ,5.87 
6,0.4,New Haven,CT,3.83 ,7.06 
6,0.4,New Orleans,LA,1.81 ,3.30 
6,0.4,Newark,NJ,2.89 ,4.77 
6,0.4,Newport News,VA,4.31 ,5.66 
6,0.4,Norfolk,VA,3.38 ,6.68 
6,0.4,Ocala,FL,4.61 ,6.56 
6,0.4,Odessa,TX,1.99 ,4.64 
6,0.4,Ogden,UT,3.45 ,5.33 
6,0.4,Oklahoma City,OK,2.07 ,4.39 
6,0.4,Olympia,WA,4.94 ,7.30 
6,0.4,Omaha,NE,1.95 ,3.81 
6,0.4,Orange County,CA,3.64 ,6.34 
6,0.4,Orlando,FL,2.66 ,4.47 
6,0.4,Ormond Beach,FL,3.24 ,4.15 
6,0.4,Owensboro,KY,2.24 ,5.52 
6,0.4,Oxford,MS,1.10 ,6.32 
6,0.4,Paducah,KY,1.45 ,4.18 
6,0.4,Palm Springs/Rancho Mira,CA,2.60 ,8.87 
6,0.4,Paterson,NJ,2.04 ,7.73 
6,0.4,Pensacola,FL,2.58 ,4.81 
6,0.4,Peoria,IL,2.23 ,5.08 
6,0.4,Petoskey,MI,2.50 ,4.07 
6,0.4,Philadelphia,PA,2.58 ,4.40 
6,0.4,Phoenix,AZ,3.21 ,4.80 
6,0.4,Pittsburgh,PA,2.42 ,3.86 
6,0.4,Pontiac,MI,3.39 ,6.22 
6,0.4,Portland,ME,3.05 ,7.14 
6,0.4,Portland,OR,3.82 ,5.61 
6,0.4,Providence,RI,3.73 ,6.29 
6,0.4,Provo,UT,3.53 ,5.56 
6,0.4,Pueblo,CO,1.84 ,10.12 
6,0.4,Raleigh,NC,3.91 ,7.25 
6,0.4,Rapid City,SD,1.60 ,6.42 
6,0.4,Reading,PA,2.77 ,7.60 
6,0.4,Redding,CA,2.92 ,4.14 
6,0.4,Reno,NV,2.67 ,2.76 
6,0.4,Richmond,VA,2.62 ,5.49 
6,0.4,Ridgewood,NJ,3.46 ,6.86 
6,0.4,Roanoke,VA,2.31 ,3.66 
6,0.4,Rochester,MN,1.48 ,2.39 
6,0.4,Rochester,NY,2.52 ,6.66 
6,0.4,Rockford,IL,3.20 ,4.59 
6,0.4,Rome,GA,2.58 ,5.98 
6,0.4,Royal Oak,MI,1.71 ,3.21 
6,0.4,Sacramento,CA,4.05 ,5.91 
6,0.4,Saginaw,MI,1.67 ,4.57 
6,0.4,Salem,OR,4.43 ,8.30 
