HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"La Crosse, WI",650,78,286,468,44,61,"279,590","60,747","167,754","35,336","7,701","2,356",8.24 ,5.03 ,3.62 ,1178.00 ,4.12 ,2.52 ,1.81 ,768.00 ,2.69 ,1.64 ,1.18 ,513.00 ,11.66 ,8.41 ,6.58 ,257.00 ,5.84 ,4.21 ,3.29 ,167.00 ,3.80 ,2.74 ,2.14 
"Lafayette, IN",457,34,193,325,14,24,"199,535","31,824","119,721","24,561","5,184","1,637",8.48 ,5.04 ,3.58 ,819.00 ,4.24 ,2.52 ,1.79 ,534.00 ,2.77 ,1.64 ,1.17 ,346.00 ,24.71 ,14.42 ,10.18 ,173.00 ,12.36 ,7.21 ,5.09 ,113.00 ,8.07 ,4.71 ,3.32 
"Lafayette, LA","1,716",188,700,"1,208",87,137,"477,559","85,840","286,535","59,335","12,668","3,956",5.65 ,3.27 ,2.31 ,1978.00 ,2.83 ,1.64 ,1.15 ,1290.00 ,1.84 ,1.07 ,0.75 ,845.00 ,9.71 ,6.17 ,4.49 ,422.00 ,4.85 ,3.08 ,2.24 ,275.00 ,3.16 ,2.01 ,1.46 
"Lake Charles, LA",830,81,424,627,44,62,"210,604","37,934","126,362","26,171","5,589","1,745",4.12 ,2.78 ,2.10 ,872.00 ,2.06 ,1.39 ,1.05 ,569.00 ,1.34 ,0.91 ,0.69 ,373.00 ,8.48 ,6.02 ,4.60 ,186.00 ,4.23 ,3.00 ,2.30 ,122.00 ,2.77 ,1.97 ,1.51 
"Lakeland, FL","1,046",103,382,714,57,80,"317,384","73,118","190,430","40,349","8,854","2,690",7.04 ,3.77 ,2.57 ,1345.00 ,3.52 ,1.88 ,1.29 ,877.00 ,2.30 ,1.23 ,0.84 ,590.00 ,10.35 ,7.38 ,5.73 ,295.00 ,5.18 ,3.69 ,2.86 ,192.00 ,3.37 ,2.40 ,1.86 
"Lancaster, PA","1,081",98,468,774,40,69,"528,715","112,509","317,229","66,687","14,498","4,446",9.50 ,5.74 ,4.11 ,2223.00 ,4.75 ,2.87 ,2.06 ,1450.00 ,3.10 ,1.87 ,1.34 ,967.00 ,24.18 ,14.01 ,9.87 ,483.00 ,12.08 ,7.00 ,4.93 ,315.00 ,7.88 ,4.57 ,3.21 
"Lansing, MI","1,444",240,632,"1,038",115,177,"561,636","102,892","336,982","69,891","14,951","4,659",7.37 ,4.49 ,3.23 ,2330.00 ,3.69 ,2.24 ,1.61 ,1519.00 ,2.40 ,1.46 ,1.05 ,997.00 ,8.67 ,5.63 ,4.15 ,498.00 ,4.33 ,2.81 ,2.08 ,325.00 ,2.83 ,1.84 ,1.35 
"Las Vegas, NV","4,165",761,"1,088","2,626",162,462,"1,704,994","321,669","1,022,996","212,704","45,639","14,180",13.03 ,5.40 ,3.40 ,7090.00 ,6.52 ,2.70 ,1.70 ,4624.00 ,4.25 ,1.76 ,1.11 ,3043.00 ,18.78 ,6.59 ,4.00 ,1521.00 ,9.39 ,3.29 ,2.00 ,992.00 ,6.12 ,2.15 ,1.30 
"Lawton, OK",733,76,346,539,32,54,"152,745","28,422","91,647","19,033","4,078","1,269",3.67 ,2.35 ,1.73 ,634.00 ,1.83 ,1.18 ,0.86 ,414.00 ,1.20 ,0.77 ,0.56 ,272.00 ,8.50 ,5.04 ,3.58 ,136.00 ,4.25 ,2.52 ,1.79 ,89.00 ,2.78 ,1.65 ,1.17 
"Lebanon, NH",939,105,333,636,56,80,"320,499","77,792","192,299","40,971","9,048","2,731",8.20 ,4.29 ,2.91 ,1366.00 ,4.10 ,2.15 ,1.45 ,891.00 ,2.68 ,1.40 ,0.95 ,603.00 ,10.77 ,7.54 ,5.74 ,302.00 ,5.39 ,3.78 ,2.88 ,197.00 ,3.52 ,2.46 ,1.88 
"Lexington, KY","5,045",579,"2,073","3,559",172,375,"1,192,842","231,348","715,705","149,171","32,101","9,945",4.80 ,2.79 ,1.97 ,4972.00 ,2.40 ,1.40 ,0.99 ,3243.00 ,1.56 ,0.91 ,0.64 ,2140.00 ,12.44 ,5.71 ,3.70 ,1070.00 ,6.22 ,2.85 ,1.85 ,698.00 ,4.06 ,1.86 ,1.21 
"Lincoln, NE","2,047",116,"1,016","1,532",33,75,"459,005","93,970","275,403","57,683","12,486","3,846",3.79 ,2.51 ,1.88 ,1923.00 ,1.89 ,1.26 ,0.94 ,1254.00 ,1.23 ,0.82 ,0.61 ,832.00 ,25.21 ,11.09 ,7.17 ,416.00 ,12.61 ,5.55 ,3.59 ,271.00 ,8.21 ,3.61 ,2.34 
"Little Rock, AR","4,854",520,"2,174","3,514",177,348,"1,212,482","258,840","727,489","152,977","33,270","10,198",4.69 ,2.90 ,2.10 ,5099.00 ,2.35 ,1.45 ,1.05 ,3326.00 ,1.53 ,0.95 ,0.69 ,2218.00 ,12.53 ,6.37 ,4.27 ,1109.00 ,6.27 ,3.19 ,2.13 ,723.00 ,4.08 ,2.08 ,1.39 
"Longview, TX",224,45,98,161,21,33,"161,316","33,367","96,790","20,292","4,398","1,353",13.81 ,8.40 ,6.04 ,676.00 ,6.90 ,4.20 ,3.02 ,441.00 ,4.50 ,2.74 ,1.97 ,293.00 ,13.95 ,8.88 ,6.51 ,147.00 ,7.00 ,4.45 ,3.27 ,96.00 ,4.57 ,2.91 ,2.13 
"Los Angeles, CA","19,492","2,415","6,594","13,043",942,"1,679","7,874,162","1,268,093","4,724,497","969,936","204,888","64,662",9.81 ,4.96 ,3.32 ,32331.00 ,4.90 ,2.48 ,1.66 ,21086.00 ,3.20 ,1.62 ,1.08 ,13659.00 ,14.50 ,8.14 ,5.66 ,6830.00 ,7.25 ,4.07 ,2.83 ,4454.00 ,4.73 ,2.65 ,1.84 
"Louisville, KY","4,162",506,"1,700","2,931",165,335,"1,385,741","271,762","831,445","173,465","37,373","11,564",6.80 ,3.95 ,2.78 ,5782.00 ,3.40 ,1.97 ,1.39 ,3771.00 ,2.22 ,1.29 ,0.91 ,2492.00 ,15.10 ,7.44 ,4.92 ,1246.00 ,7.55 ,3.72 ,2.46 ,812.00 ,4.92 ,2.42 ,1.60 
"Lubbock, TX","1,811",298,922,"1,367",85,191,"546,461","91,980","327,877","67,539","14,327","4,503",4.88 ,3.29 ,2.49 ,2251.00 ,2.44 ,1.65 ,1.24 ,1468.00 ,1.59 ,1.07 ,0.81 ,955.00 ,11.24 ,5.00 ,3.20 ,478.00 ,5.62 ,2.50 ,1.60 ,311.00 ,3.66 ,1.63 ,1.04 
"Lynchburg, VA","1,174",55,309,741,20,37,"217,344","49,862","130,406","27,619","6,058","1,841",5.96 ,2.48 ,1.57 ,921.00 ,2.98 ,1.24 ,0.78 ,600.00 ,1.94 ,0.81 ,0.51 ,404.00 ,20.20 ,10.92 ,7.35 ,202.00 ,10.10 ,5.46 ,3.67 ,132.00 ,6.60 ,3.57 ,2.40 
"Macon, GA","2,295",240,865,"1,580",57,149,"568,689","111,226","341,213","71,170","15,329","4,745",5.49 ,3.00 ,2.07 ,2372.00 ,2.74 ,1.50 ,1.03 ,1547.00 ,1.79 ,0.98 ,0.67 ,1022.00 ,17.93 ,6.86 ,4.26 ,511.00 ,8.96 ,3.43 ,2.13 ,333.00 ,5.84 ,2.23 ,1.39 
"Madison, WI","2,443",267,838,"1,640",121,194,"886,932","165,619","532,159","110,550","23,695","7,370",8.79 ,4.49 ,3.02 ,3685.00 ,4.40 ,2.25 ,1.51 ,2403.00 ,2.87 ,1.47 ,0.98 ,1580.00 ,13.06 ,8.14 ,5.92 ,790.00 ,6.53 ,4.07 ,2.96 ,515.00 ,4.26 ,2.65 ,1.93 
"Manchester, NH","1,603",137,582,"1,092",53,95,"714,679","143,594","428,807","89,658","19,368","5,977",10.27 ,5.47 ,3.73 ,2989.00 ,5.14 ,2.74 ,1.86 ,1949.00 ,3.35 ,1.78 ,1.22 ,1291.00 ,24.36 ,13.59 ,9.42 ,646.00 ,12.19 ,6.80 ,4.72 ,421.00 ,7.94 ,4.43 ,3.07 
"Manhattan, NY","14,834","1,427","3,059","8,946",616,"1,021","4,173,437","725,342","2,504,062","517,116","110,035","34,474",11.27 ,3.85 ,2.32 ,17237.00 ,5.63 ,1.93 ,1.16 ,11242.00 ,3.68 ,1.26 ,0.76 ,7336.00 ,11.91 ,7.19 ,5.14 ,3668.00 ,5.95 ,3.59 ,2.57 ,2392.00 ,3.88 ,2.34 ,1.68 
"Marquette, MI",601,47,276,438,18,32,"159,278","39,415","95,567","20,404","4,517","1,360",4.93 ,3.11 ,2.26 ,680.00 ,2.46 ,1.55 ,1.13 ,444.00 ,1.61 ,1.01 ,0.74 ,301.00 ,16.72 ,9.41 ,6.40 ,151.00 ,8.39 ,4.72 ,3.21 ,98.00 ,5.44 ,3.06 ,2.09 
"Marshfield, WI",706,68,281,494,34,51,"295,582","70,770","177,349","37,730","8,318","2,515",8.95 ,5.09 ,3.56 ,1258.00 ,4.48 ,2.55 ,1.78 ,820.00 ,2.92 ,1.66 ,1.16 ,555.00 ,16.32 ,10.88 ,8.16 ,277.00 ,8.15 ,5.43 ,4.07 ,181.00 ,5.32 ,3.55 ,2.66 
"Mason City, IA",470,18,239,354,6,12,"100,326","26,837","60,196","12,967","2,900",864,3.62 ,2.44 ,1.84 ,432.00 ,1.81 ,1.22 ,0.92 ,282.00 ,1.18 ,0.80 ,0.60 ,193.00 ,32.17 ,16.08 ,10.72 ,97.00 ,16.17 ,8.08 ,5.39 ,63.00 ,10.50 ,5.25 ,3.50 
"McAllen, TX","1,938",350,849,"1,394",133,241,"486,579","74,033","291,947","59,690","12,544","3,979",4.69 ,2.85 ,2.05 ,1990.00 ,2.34 ,1.43 ,1.03 ,1298.00 ,1.53 ,0.93 ,0.67 ,836.00 ,6.29 ,3.47 ,2.39 ,418.00 ,3.14 ,1.73 ,1.19 ,273.00 ,2.05 ,1.13 ,0.78 
"Medford, OR",855,72,369,612,25,49,"351,154","95,565","210,692","45,479","10,193","3,032",8.22 ,4.95 ,3.55 ,1516.00 ,4.11 ,2.48 ,1.77 ,989.00 ,2.68 ,1.62 ,1.16 ,680.00 ,27.20 ,13.88 ,9.44 ,340.00 ,13.60 ,6.94 ,4.72 ,222.00 ,8.88 ,4.53 ,3.08 
"Melrose Park, IL","2,902",334,"1,122","2,012",137,236,"1,031,510","185,204","618,906","128,149","27,357","8,543",7.61 ,4.25 ,2.94 ,4272.00 ,3.81 ,2.12 ,1.47 ,2786.00 ,2.48 ,1.38 ,0.96 ,1824.00 ,13.31 ,7.73 ,5.46 ,912.00 ,6.66 ,3.86 ,2.73 ,595.00 ,4.34 ,2.52 ,1.78 
"Memphis, TN","5,054",543,"2,045","3,549",139,341,"1,366,198","246,308","819,719","169,786","36,261","11,319",5.53 ,3.19 ,2.24 ,5660.00 ,2.77 ,1.59 ,1.12 ,3691.00 ,1.80 ,1.04 ,0.73 ,2417.00 ,17.39 ,7.09 ,4.45 ,1209.00 ,8.70 ,3.55 ,2.23 ,788.00 ,5.67 ,2.31 ,1.45 
"Meridian, MS","1,117",57,445,781,19,38,"148,060","32,340","88,836","18,722","4,083","1,248",2.80 ,1.60 ,1.12 ,624.00 ,1.40 ,0.80 ,0.56 ,407.00 ,0.91 ,0.52 ,0.36 ,272.00 ,14.32 ,7.16 ,4.77 ,136.00 ,7.16 ,3.58 ,2.39 ,89.00 ,4.68 ,2.34 ,1.56 
"Mesa, AZ","2,091",291,648,"1,370",108,200,"1,135,619","212,738","681,371","141,587","30,357","9,439",14.57 ,6.89 ,4.51 ,4720.00 ,7.28 ,3.45 ,2.26 ,3078.00 ,4.75 ,2.25 ,1.47 ,2024.00 ,18.74 ,10.12 ,6.96 ,1012.00 ,9.37 ,5.06 ,3.48 ,660.00 ,6.11 ,3.30 ,2.27 
"Metairie, LA",857,111,406,631,44,78,"366,346","76,217","219,808","46,108","9,999","3,074",7.57 ,4.87 ,3.59 ,1537.00 ,3.79 ,2.44 ,1.79 ,1002.00 ,2.47 ,1.59 ,1.17 ,667.00 ,15.16 ,8.55 ,6.01 ,333.00 ,7.57 ,4.27 ,3.00 ,217.00 ,4.93 ,2.78 ,1.95 
"Miami, FL","9,139",981,"2,952","6,045",280,630,"2,741,481","526,396","1,644,889","342,533","73,633","22,836",7.74 ,3.78 ,2.50 ,11418.00 ,3.87 ,1.89 ,1.25 ,7446.00 ,2.52 ,1.23 ,0.81 ,4909.00 ,17.53 ,7.79 ,5.00 ,2454.00 ,8.76 ,3.90 ,2.50 ,1601.00 ,5.72 ,2.54 ,1.63 
"Milwaukee, WI","5,263",818,"2,207","3,735",323,570,"2,079,205","380,644","1,247,523","258,726","55,342","17,248",7.82 ,4.62 ,3.28 ,8624.00 ,3.91 ,2.31 ,1.64 ,5624.00 ,2.55 ,1.51 ,1.07 ,3689.00 ,11.42 ,6.47 ,4.51 ,1845.00 ,5.71 ,3.24 ,2.26 ,1203.00 ,3.72 ,2.11 ,1.47 
"Minneapolis, MN","6,954",612,"2,458","4,706",238,425,"2,570,355","478,271","1,542,213","320,282","68,623","21,352",8.69 ,4.54 ,3.07 ,10676.00 ,4.34 ,2.27 ,1.54 ,6963.00 ,2.83 ,1.48 ,1.00 ,4575.00 ,19.22 ,10.76 ,7.48 ,2287.00 ,9.61 ,5.38 ,3.74 ,1492.00 ,6.27 ,3.51 ,2.44 
"Minot, ND",916,19,384,650,9,14,"112,434","19,303","67,460","13,918","2,958",928,2.42 ,1.43 ,1.01 ,464.00 ,1.21 ,0.71 ,0.51 ,303.00 ,0.79 ,0.47 ,0.33 ,197.00 ,21.89 ,14.07 ,10.37 ,99.00 ,11.00 ,7.07 ,5.21 ,64.00 ,7.11 ,4.57 ,3.37 
"Missoula, MT","1,002",79,455,729,39,59,"315,091","74,302","189,055","40,156","8,837","2,677",5.88 ,3.67 ,2.67 ,1339.00 ,2.94 ,1.84 ,1.34 ,873.00 ,1.92 ,1.20 ,0.87 ,589.00 ,15.10 ,9.98 ,7.46 ,295.00 ,7.56 ,5.00 ,3.73 ,192.00 ,4.92 ,3.25 ,2.43 
"Mobile, AL","2,066",282,695,"1,380",101,191,"648,957","135,227","389,374","81,689","17,718","5,446",7.84 ,3.95 ,2.64 ,2723.00 ,3.92 ,1.97 ,1.32 ,1776.00 ,2.56 ,1.29 ,0.86 ,1181.00 ,11.69 ,6.18 ,4.19 ,591.00 ,5.85 ,3.09 ,2.10 ,385.00 ,3.81 ,2.02 ,1.37 
"Modesto, CA","1,478",118,467,972,44,81,"680,976","119,559","408,586","84,446","17,987","5,630",12.06 ,5.79 ,3.81 ,2815.00 ,6.03 ,2.90 ,1.90 ,1836.00 ,3.93 ,1.89 ,1.24 ,1199.00 ,27.25 ,14.80 ,10.16 ,600.00 ,13.64 ,7.41 ,5.08 ,391.00 ,8.89 ,4.83 ,3.31 
"Monroe, LA","1,064",102,561,813,36,69,"204,787","41,070","122,872","25,687","5,548","1,712",3.05 ,2.11 ,1.61 ,856.00 ,1.53 ,1.05 ,0.80 ,558.00 ,0.99 ,0.69 ,0.52 ,370.00 ,10.28 ,5.36 ,3.63 ,185.00 ,5.14 ,2.68 ,1.81 ,121.00 ,3.36 ,1.75 ,1.19 
"Montgomery, AL","1,225",131,461,843,61,96,"360,863","68,023","216,518","45,016","9,658","3,001",6.51 ,3.56 ,2.45 ,1501.00 ,3.26 ,1.78 ,1.23 ,979.00 ,2.12 ,1.16 ,0.80 ,644.00 ,10.56 ,6.71 ,4.92 ,322.00 ,5.28 ,3.35 ,2.46 ,210.00 ,3.44 ,2.19 ,1.60 
"Morgantown, WV","1,555",155,499,"1,027",40,97,"329,288","68,760","197,573","41,458","8,994","2,764",5.54 ,2.69 ,1.78 ,1382.00 ,2.77 ,1.35 ,0.89 ,901.00 ,1.81 ,0.88 ,0.58 ,600.00 ,15.00 ,6.19 ,3.87 ,300.00 ,7.50 ,3.09 ,1.94 ,196.00 ,4.90 ,2.02 ,1.26 
"Morristown, NJ","1,862",147,589,"1,226",54,101,"795,142","157,620","477,085","99,630","21,490","6,642",11.28 ,5.42 ,3.57 ,3321.00 ,5.64 ,2.71 ,1.78 ,2166.00 ,3.68 ,1.77 ,1.16 ,1433.00 ,26.54 ,14.19 ,9.75 ,716.00 ,13.26 ,7.09 ,4.87 ,467.00 ,8.65 ,4.62 ,3.18 
"Muncie, IN",377,36,129,253,8,22,"128,803","27,663","77,282","16,260","3,539","1,084",8.40 ,4.28 ,2.88 ,542.00 ,4.20 ,2.14 ,1.44 ,353.00 ,2.74 ,1.40 ,0.94 ,236.00 ,29.50 ,10.73 ,6.56 ,118.00 ,14.75 ,5.36 ,3.28 ,77.00 ,9.63 ,3.50 ,2.14 
"Munster, IN","1,500",105,642,"1,071",42,74,"239,843","45,234","143,906","29,920","6,420","1,995",3.11 ,1.86 ,1.33 ,997.00 ,1.55 ,0.93 ,0.66 ,650.00 ,1.01 ,0.61 ,0.43 ,428.00 ,10.19 ,5.78 ,4.08 ,214.00 ,5.10 ,2.89 ,2.04 ,140.00 ,3.33 ,1.89 ,1.33 
"Muskegon, MI",501,57,253,377,40,49,"209,507","45,654","125,704","26,486","5,774","1,766",6.98 ,4.68 ,3.52 ,883.00 ,3.49 ,2.34 ,1.76 ,576.00 ,2.28 ,1.53 ,1.15 ,385.00 ,9.63 ,7.86 ,6.75 ,192.00 ,4.80 ,3.92 ,3.37 ,126.00 ,3.15 ,2.57 ,2.21 
"Napa, CA",456,70,152,304,41,56,"218,503","53,625","131,102","27,966","6,185","1,864",12.26 ,6.13 ,4.09 ,932.00 ,6.13 ,3.07 ,2.04 ,608.00 ,4.00 ,2.00 ,1.33 ,412.00 ,10.05 ,7.36 ,5.89 ,206.00 ,5.02 ,3.68 ,2.94 ,134.00 ,3.27 ,2.39 ,1.91 
"Nashville, TN","7,810","1,118","2,987","5,398",317,717,"2,282,662","410,987","1,369,597","283,650","60,570","18,910",6.33 ,3.50 ,2.42 ,9455.00 ,3.17 ,1.75 ,1.21 ,6166.00 ,2.06 ,1.14 ,0.79 ,4038.00 ,12.74 ,5.63 ,3.61 ,2019.00 ,6.37 ,2.82 ,1.81 ,1317.00 ,4.15 ,1.84 ,1.18 
"Neenah, WI",447,46,262,355,25,35,"191,863","39,899","115,118","24,147","5,236","1,610",6.15 ,4.54 ,3.60 ,805.00 ,3.07 ,2.27 ,1.80 ,525.00 ,2.00 ,1.48 ,1.17 ,349.00 ,13.96 ,9.97 ,7.59 ,175.00 ,7.00 ,5.00 ,3.80 ,114.00 ,4.56 ,3.26 ,2.48 
"New Brunswick, NJ","2,177",213,616,"1,397",126,170,"845,392","153,380","507,235","105,117","22,464","7,008",11.38 ,5.02 ,3.22 ,3504.00 ,5.69 ,2.51 ,1.61 ,2285.00 ,3.71 ,1.64 ,1.05 ,1498.00 ,11.89 ,8.81 ,7.03 ,749.00 ,5.94 ,4.41 ,3.52 ,488.00 ,3.87 ,2.87 ,2.29 
"New Haven, CT","2,825",286,610,"1,717",118,202,"1,177,072","244,084","706,243","148,099","32,104","9,873",16.19 ,5.75 ,3.49 ,4937.00 ,8.09 ,2.88 ,1.75 ,3220.00 ,5.28 ,1.88 ,1.14 ,2140.00 ,18.14 ,10.59 ,7.48 ,1070.00 ,9.07 ,5.30 ,3.74 ,698.00 ,5.92 ,3.46 ,2.44 
"New Orleans, LA","2,491",313,869,"1,680",77,195,"554,325","92,037","332,595","68,439","14,499","4,563",5.25 ,2.72 ,1.83 ,2281.00 ,2.62 ,1.36 ,0.92 ,1488.00 ,1.71 ,0.89 ,0.60 ,967.00 ,12.56 ,4.96 ,3.09 ,483.00 ,6.27 ,2.48 ,1.54 ,315.00 ,4.09 ,1.62 ,1.01 
"Newark, NJ","3,636",403,"1,033","2,334",195,299,"1,233,539","198,090","740,123","151,914","32,082","10,128",9.80 ,4.34 ,2.79 ,5064.00 ,4.90 ,2.17 ,1.39 ,3302.00 ,3.20 ,1.41 ,0.91 ,2139.00 ,10.97 ,7.15 ,5.31 ,1069.00 ,5.48 ,3.58 ,2.65 ,697.00 ,3.57 ,2.33 ,1.73 
"Newport News, VA",905,145,251,578,45,95,"447,424","89,385","268,454","56,101","12,111","3,740",14.90 ,6.47 ,4.13 ,1870.00 ,7.45 ,3.24 ,2.07 ,1220.00 ,4.86 ,2.11 ,1.35 ,807.00 ,17.93 ,8.49 ,5.57 ,404.00 ,8.98 ,4.25 ,2.79 ,263.00 ,5.84 ,2.77 ,1.81 
"Norfolk, VA","2,543",276,782,"1,663",82,179,"1,023,500","174,191","614,100","126,608","26,885","8,441",10.79 ,5.08 ,3.32 ,4220.00 ,5.40 ,2.54 ,1.66 ,2752.00 ,3.52 ,1.65 ,1.08 ,1792.00 ,21.85 ,10.01 ,6.49 ,896.00 ,10.93 ,5.01 ,3.25 ,584.00 ,7.12 ,3.26 ,2.12 
"Ocala, FL",902,150,289,596,51,100,"449,792","185,054","269,875","61,824","14,753","4,122",14.26 ,6.92 ,4.57 ,2061.00 ,7.13 ,3.46 ,2.28 ,1344.00 ,4.65 ,2.26 ,1.49 ,984.00 ,19.29 ,9.84 ,6.56 ,492.00 ,9.65 ,4.92 ,3.28 ,321.00 ,6.29 ,3.21 ,2.14 
"Odessa, TX","1,014",101,543,779,38,70,"283,753","43,182","170,252","34,809","7,315","2,321",4.27 ,2.98 ,2.29 ,1160.00 ,2.14 ,1.49 ,1.14 ,757.00 ,1.39 ,0.97 ,0.75 ,488.00 ,12.84 ,6.97 ,4.83 ,244.00 ,6.42 ,3.49 ,2.42 ,159.00 ,4.18 ,2.27 ,1.57 
"Ogden, UT",750,110,371,561,42,76,"356,000","51,907","213,600","43,543","9,116","2,903",7.82 ,5.17 ,3.87 ,1451.00 ,3.91 ,2.59 ,1.93 ,947.00 ,2.55 ,1.69 ,1.26 ,608.00 ,14.48 ,8.00 ,5.53 ,304.00 ,7.24 ,4.00 ,2.76 ,198.00 ,4.71 ,2.61 ,1.80 
"Oklahoma City, OK","5,541",582,"2,447","3,994",225,404,"1,491,485","279,037","894,891","185,934","39,860","12,396",5.07 ,3.10 ,2.24 ,6198.00 ,2.53 ,1.55 ,1.12 ,4042.00 ,1.65 ,1.01 ,0.73 ,2657.00 ,11.81 ,6.58 ,4.57 ,1329.00 ,5.91 ,3.29 ,2.28 ,867.00 ,3.85 ,2.15 ,1.49 
"Olympia, WA",558,84,173,365,25,54,"320,156","71,021","192,094","40,546","8,857","2,703",15.62 ,7.41 ,4.84 ,1352.00 ,7.82 ,3.70 ,2.42 ,881.00 ,5.09 ,2.41 ,1.58 ,590.00 ,23.60 ,10.93 ,7.02 ,295.00 ,11.80 ,5.46 ,3.51 ,193.00 ,7.72 ,3.57 ,2.30 
"Omaha, NE","4,017",449,"1,742","2,879",184,317,"1,010,995","195,073","606,597","126,373","27,180","8,425",4.84 ,2.93 ,2.10 ,4212.00 ,2.42 ,1.46 ,1.05 ,2747.00 ,1.58 ,0.95 ,0.68 ,1812.00 ,9.85 ,5.72 ,4.04 ,906.00 ,4.92 ,2.86 ,2.02 ,591.00 ,3.21 ,1.86 ,1.32 
"Orange County, CA","5,813",690,"2,236","4,024",293,491,"2,662,559","456,181","1,597,535","329,534","70,022","21,969",9.83 ,5.46 ,3.78 ,10984.00 ,4.91 ,2.73 ,1.89 ,7164.00 ,3.20 ,1.78 ,1.23 ,4668.00 ,15.93 ,9.51 ,6.77 ,2334.00 ,7.97 ,4.75 ,3.38 ,1522.00 ,5.19 ,3.10 ,2.21 
"Orlando, FL","10,004","1,284","3,292","6,648",448,866,"3,130,935","714,153","1,878,561","397,633","87,152","26,509",8.05 ,3.99 ,2.65 ,13254.00 ,4.03 ,1.99 ,1.32 ,8644.00 ,2.63 ,1.30 ,0.86 ,5810.00 ,12.97 ,6.71 ,4.52 ,2905.00 ,6.48 ,3.35 ,2.26 ,1895.00 ,4.23 ,2.19 ,1.48 
"Ormond Beach, FL",872,158,359,616,63,110,"338,880","108,815","203,328","44,835","10,286","2,989",8.33 ,4.85 ,3.43 ,1494.00 ,4.16 ,2.43 ,1.71 ,975.00 ,2.72 ,1.58 ,1.12 ,686.00 ,10.89 ,6.24 ,4.34 ,343.00 ,5.44 ,3.12 ,2.17 ,224.00 ,3.56 ,2.04 ,1.42 
"Owensboro, KY",390,36,175,282,14,25,"112,038","24,900","67,223","14,192","3,101",946,5.41 ,3.35 ,2.43 ,473.00 ,2.70 ,1.68 ,1.21 ,309.00 ,1.77 ,1.10 ,0.79 ,207.00 ,14.79 ,8.28 ,5.75 ,103.00 ,7.36 ,4.12 ,2.86 ,67.00 ,4.79 ,2.68 ,1.86 
"Oxford, MS",835,29,344,589,15,22,"116,854","21,977","70,112","14,574","3,126",972,2.83 ,1.65 ,1.16 ,486.00 ,1.41 ,0.83 ,0.58 ,317.00 ,0.92 ,0.54 ,0.38 ,208.00 ,13.87 ,9.45 ,7.17 ,104.00 ,6.93 ,4.73 ,3.59 ,68.00 ,4.53 ,3.09 ,2.34 
"Paducah, KY","1,490",117,779,"1,134",57,87,"290,227","70,421","174,136","37,100","8,193","2,473",3.17 ,2.18 ,1.66 ,1237.00 ,1.59 ,1.09 ,0.83 ,807.00 ,1.04 ,0.71 ,0.54 ,546.00 ,9.58 ,6.28 ,4.67 ,273.00 ,4.79 ,3.14 ,2.33 ,178.00 ,3.12 ,2.05 ,1.52 
"Palm Springs/Rancho Mira, CA",974,69,404,689,23,46,"305,976","94,312","183,586","40,257","9,181","2,684",6.64 ,3.90 ,2.76 ,1342.00 ,3.32 ,1.95 ,1.38 ,875.00 ,2.17 ,1.27 ,0.90 ,612.00 ,26.61 ,13.30 ,8.87 ,306.00 ,13.30 ,6.65 ,4.43 ,200.00 ,8.70 ,4.35 ,2.90 
"Paterson, NJ","1,164",84,527,845,12,48,"310,775","60,087","186,465","38,853","8,358","2,590",4.91 ,3.07 ,2.23 ,1295.00 ,2.46 ,1.53 ,1.11 ,845.00 ,1.60 ,1.00 ,0.73 ,557.00 ,46.42 ,11.60 ,6.63 ,279.00 ,23.25 ,5.81 ,3.32 ,182.00 ,15.17 ,3.79 ,2.17 
"Pensacola, FL","2,001",230,755,"1,378",91,160,"636,854","130,505","382,112","80,040","17,328","5,336",7.07 ,3.87 ,2.67 ,2668.00 ,3.53 ,1.94 ,1.33 ,1740.00 ,2.30 ,1.26 ,0.87 ,1155.00 ,12.69 ,7.22 ,5.02 ,578.00 ,6.35 ,3.61 ,2.51 ,377.00 ,4.14 ,2.36 ,1.64 
