City,State,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
Des Moines,IA,"2,760",173,"1,193","1,977",76,125,"869,785","168,710","347,914","72,515","15,605","4,834",4.05,2.45,1.75,2417,2.03,1.22,0.88,1576,1.32,0.8,0.57,1040,13.68,8.32,6.01,520,6.84,4.16,3.01,339,4.46,2.71,1.96
Detroit,MI,"4,123",509,"1,333","2,728",163,336,"1,315,527","254,755","526,211","109,661","23,595","7,311",5.48,2.68,1.77,3655,2.74,1.34,0.89,2384,1.79,0.87,0.58,1573,9.65,4.68,3.09,786,4.82,2.34,1.54,513,3.15,1.53,1.01
Dothan,AL,"1,335",108,504,919,33,71,"290,096","65,608","116,038","24,540","5,373","1,636",3.25,1.78,1.23,818,1.62,0.89,0.61,533,1.06,0.58,0.4,358,10.85,5.04,3.31,179,5.42,2.52,1.66,117,3.55,1.65,1.08
Dubuque,IA,518,18,228,373,8,13,"125,779","28,314","50,312","10,635","2,327",709,3.11,1.9,1.37,354,1.55,0.95,0.68,231,1.01,0.62,0.45,155,19.38,11.92,8.61,78,9.75,6,4.33,51,6.38,3.92,2.83
Duluth,MN,"1,319",217,508,914,73,145,"274,471","63,578","109,788","23,276","5,111","1,552",3.06,1.7,1.18,776,1.53,0.85,0.59,506,1,0.55,0.38,341,4.67,2.35,1.57,170,2.33,1.17,0.78,111,1.52,0.77,0.51
Durham,NC,"4,505",790,"1,125","2,815",241,516,"1,097,252","224,839","438,901","91,935","19,903","6,129",5.45,2.18,1.36,3064,2.72,1.09,0.68,1999,1.78,0.71,0.44,1327,5.51,2.57,1.68,663,2.75,1.28,0.84,433,1.8,0.84,0.55
East Long Island,NY,"9,897",928,"1,230","5,564",235,582,"3,811,249","751,403","1,524,500","318,208","68,597","21,214",17.25,3.81,2.14,10607,8.62,1.91,1.07,6918,5.62,1.24,0.7,4573,19.46,7.86,4.93,2287,9.73,3.93,2.46,1491,6.34,2.56,1.61
El Paso,TX,"2,086",274,753,"1,420",51,162,"839,182","146,112","335,673","69,330","14,755","4,622",6.14,3.25,2.22,2311,3.07,1.63,1.11,1507,2,1.06,0.72,984,19.29,6.07,3.59,492,9.65,3.04,1.8,321,6.29,1.98,1.17
Elgin,IL,"1,239",142,475,857,67,104,"610,597","100,811","244,239","50,236","10,637","3,349",7.05,3.91,2.7,1675,3.53,1.95,1.35,1092,2.3,1.27,0.88,709,10.58,6.82,4.99,355,5.3,3.41,2.5,231,3.45,2.22,1.63
Elmira,NY,"1,036",94,361,699,14,54,"255,069","58,415","102,028","21,605","4,738","1,440",3.99,2.06,1.39,720,1.99,1.03,0.69,470,1.3,0.67,0.45,316,22.57,5.85,3.36,158,11.29,2.93,1.68,103,7.36,1.91,1.1
Elyria,OH,453,63,214,333,21,42,"200,261","44,042","80,104","16,893","3,687","1,126",5.26,3.38,2.49,563,2.63,1.69,1.24,367,1.71,1.1,0.81,246,11.71,5.86,3.9,123,5.86,2.93,1.95,80,3.81,1.9,1.27
Erie,PA,"1,904",184,706,"1,305",88,136,"561,138","130,069","224,455","47,589","10,451","3,173",4.49,2.43,1.67,1586,2.25,1.22,0.83,1035,1.47,0.79,0.54,697,7.92,5.13,3.79,348,3.95,2.56,1.89,227,2.58,1.67,1.23
Eugene,OR,"1,208",138,416,812,64,101,"603,572","141,016","241,429","51,230","11,261","3,415",8.21,4.21,2.83,1708,4.11,2.1,1.41,1114,2.68,1.37,0.92,751,11.73,7.44,5.44,375,5.86,3.71,2.72,245,3.83,2.43,1.78
Evanston,IL,"2,032",332,666,"1,349",137,234,"711,961","162,705","284,784","60,292","13,218","4,019",6.03,2.98,1.98,2010,3.02,1.49,0.99,1311,1.97,0.97,0.65,881,6.43,3.76,2.65,441,3.22,1.88,1.33,287,2.09,1.23,0.86
Evansville,IN,"2,154",328,"1,050","1,602",157,243,"528,945","115,347","211,578","44,583","9,720","2,972",2.83,1.86,1.38,1486,1.42,0.93,0.69,969,0.92,0.6,0.45,648,4.13,2.67,1.98,324,2.06,1.33,0.99,211,1.34,0.87,0.64
Everett,WA,951,83,319,635,26,55,"542,404","104,811","216,962","45,206","9,724","3,014",9.45,4.75,3.17,1507,4.72,2.37,1.58,983,3.08,1.55,1.03,648,24.92,11.78,7.81,324,12.46,5.89,3.9,211,8.12,3.84,2.54
