State,City,Month,Percentage,Percentage of Available Bed,Percentage of Available ICU
KY,Paducah,6,0.4,2.12,6.39
CA,Palm Springs/Rancho Mira,6,0.4,4.43,17.74
NJ,Paterson,6,0.4,3.28,30.92
FL,Pensacola,6,0.4,4.71,8.46
IL,Peoria,6,0.4,4.11,8.15
MI,Petoskey,6,0.4,4.6,8.32
PA,Philadelphia,6,0.4,5.09,7.27
AZ,Phoenix,6,0.4,5.98,7.93
PA,Pittsburgh,6,0.4,4.8,6.88
MI,Pontiac,6,0.4,6.51,9.14
ME,Portland,6,0.4,6.95,11.72
OR,Portland,6,0.4,7.07,9.46
RI,Providence,6,0.4,7.95,14.41
UT,Provo,6,0.4,6.06,9.31
CO,Pueblo,6,0.4,3.29,24.57
NC,Raleigh,6,0.4,8.14,12.09
SD,Rapid City,6,0.4,2.84,10.6
PA,Reading,6,0.4,4.68,11.4
CA,Redding,6,0.4,5.5,5.93
NV,Reno,6,0.4,5.14,5.76
VA,Richmond,6,0.4,5.25,11.63
NJ,Ridgewood,6,0.4,6.84,11.57
VA,Roanoke,6,0.4,5.41,6.21
MN,Rochester,6,0.4,3.04,4.38
NY,Rochester,6,0.4,7,14.39
IL,Rockford,6,0.4,5.05,7.02
GA,Rome,6,0.4,5.41,16.81
MI,Royal Oak,6,0.4,3.63,6.98
CA,Sacramento,6,0.4,8.78,11.09
MI,Saginaw,6,0.4,2.91,9.86
OR,Salem,6,0.4,9.23,30.7
CA,Salinas,6,0.4,5.75,9.57
MD,Salisbury,6,0.4,11.42,18.38
UT,Salt Lake City,6,0.4,4.71,6.48
TX,San Angelo,6,0.4,2.18,9
TX,San Antonio,6,0.4,4.87,11.87
CA,San Bernardino,6,0.4,6.18,11.94
CA,San Diego,6,0.4,8.46,9.75
CA,San Francisco,6,0.4,6.19,7.44
CA,San Jose,6,0.4,8.71,11.53
CA,San Luis Obispo,6,0.4,5.95,7.94
CA,San Mateo County,6,0.4,8.19,9.05
CA,Santa Barbara,6,0.4,8.1,12.2
CA,Santa Cruz,6,0.4,7.47,44.67
CA,Santa Rosa,6,0.4,7.4,10.98
FL,Sarasota,6,0.4,3.8,7.14
GA,Savannah,6,0.4,6.02,15.35
PA,Sayre,6,0.4,4.04,6.86
PA,Scranton,6,0.4,4.47,10.35
WA,Seattle,6,0.4,9.76,13.58
LA,Shreveport,6,0.4,2.75,5.79
IA,Sioux City,6,0.4,3.03,10.35
SD,Sioux Falls,6,0.4,2.05,14.17
LA,Slidell,6,0.4,2.49,2.61
IN,South Bend,6,0.4,5.46,9.27
SC,Spartanburg,6,0.4,6.03,5.65
WA,Spokane,6,0.4,4.09,10.96
AR,Springdale,6,0.4,3.92,7.05
IL,Springfield,6,0.4,3.07,9.99
MA,Springfield,6,0.4,6.71,9.95
MO,Springfield,6,0.4,4.78,12.88
MN,St. Cloud,6,0.4,4.96,15.13
MI,St. Joseph,6,0.4,2.63,15.22
MO,St. Louis,6,0.4,3.43,5.86
MN,St. Paul,6,0.4,8.1,20.9
FL,St. Petersburg,6,0.4,3.31,13.67
CA,Stockton,6,0.4,7.75,13.17
AZ,Sun City,6,0.4,4.03,4.37
NY,Syracuse,6,0.4,4.88,13
WA,Tacoma,6,0.4,9.65,12.1
MD,Takoma Park,6,0.4,14.67,18.92
FL,Tallahassee,6,0.4,6.12,15.74
FL,Tampa,6,0.4,5.03,8.42
TX,Temple,6,0.4,5.71,9.34
IN,Terre Haute,6,0.4,3.78,4.57
AR,Texarkana,6,0.4,2.91,3.92
OH,Toledo,6,0.4,3.82,5.18
KS,Topeka,6,0.4,3.3,8.61
MI,Traverse City,6,0.4,3.73,35.14
AZ,Tucson,6,0.4,4.65,7.54
OK,Tulsa,6,0.4,3.35,8.1
MS,Tupelo,6,0.4,2.1,6.08
AL,Tuscaloosa,6,0.4,3.99,6.84
TX,Tyler,6,0.4,4.68,4.25
IL,Urbana,6,0.4,4.18,7.98
CA,Ventura,6,0.4,13.34,8.46
TX,Victoria,6,0.4,1.84,7.83
TX,Waco,6,0.4,5.66,13.33
DC,Washington,6,0.4,7.52,11.72
IA,Waterloo,6,0.4,2.77,10.79
WI,Wausau,6,0.4,5.63,4.2
NY,White Plains,6,0.4,8.37,7.87
TX,Wichita Falls,6,0.4,2.9,23.38
KS,Wichita,6,0.4,2.39,5.72
PA,Wilkes-Barre,6,0.4,4.27,10.29
DE,Wilmington,6,0.4,5.88,12.23
NC,Wilmington,6,0.4,8.7,28.29
VA,Winchester,6,0.4,5.5,19.41
NC,Winston-Salem,6,0.4,6,27.6
MA,Worcester,6,0.4,8.51,18.02
WA,Yakima,6,0.4,6.12,7.94
PA,York,6,0.4,7.21,52.38
OH,Youngstown,6,0.4,5.19,9.47
OH,Akron,6,0.6,8.86,10.55
CA,Alameda County,6,0.6,16.2,16.4
GA,Albany,6,0.6,5.93,10.44
