State,City,Percentage,Projected_Infected,Projected_Hospitalized,Projected_ICUed
TX,San Angelo,0.4,50434,10574,2292
TX,San Antonio,0.4,876706,180868,38439
CA,San Bernardino,0.4,962756,196869,41379
CA,San Diego,0.4,1202227,247312,52373
CA,San Francisco,0.4,509101,105712,22645
CA,San Jose,0.4,582643,119616,25267
CA,San Luis Obispo,0.4,85481,18026,3934
CA,San Mateo County,0.4,266750,55554,11944
CA,Santa Barbara,0.4,143931,29899,6408
CA,Santa Cruz,0.4,91765,18940,4027
CA,Santa Rosa,0.4,161154,33980,7414
FL,Sarasota,0.4,149984,34455,8244
GA,Savannah,0.4,280769,58653,12657
PA,Sayre,0.4,61236,13040,2878
PA,Scranton,0.4,101527,21701,4810
WA,Seattle,0.4,968487,200017,42565
LA,Shreveport,0.4,212401,44508,9640
IA,Sioux City,0.4,78274,16451,3576
SD,Sioux Falls,0.4,241425,50794,11054
LA,Slidell,0.4,59797,12602,2748
IN,South Bend,0.4,215816,45112,9742
SC,Spartanburg,0.4,120396,25321,5508
WA,Spokane,0.4,484224,101564,22022
AR,Springdale,0.4,175029,36206,7720
IL,Springfield,0.4,254985,53997,11841
MA,Springfield,0.4,240122,50300,10890
MO,Springfield,0.4,275385,58662,12952
MN,St. Cloud,0.4,81236,16905,3631
MI,St. Joseph,0.4,44094,9368,2062
MO,St. Louis,0.4,1066599,222875,48109
MN,St. Paul,0.4,342614,70734,15046
FL,St. Petersburg,0.4,141956,30417,6761
CA,Stockton,0.4,185992,38271,8107
AZ,Sun City,0.4,95001,22023,5317
NY,Syracuse,0.4,333163,69604,15021
WA,Tacoma,0.4,256900,52969,11249
MD,Takoma Park,0.4,315856,64680,13620
FL,Tallahassee,0.4,267594,55355,11804
FL,Tampa,0.4,468106,97231,20837
TX,Temple,0.4,163873,33415,6998
IN,Terre Haute,0.4,56059,11736,2539
AR,Texarkana,0.4,79322,16731,3652
OH,Toledo,0.4,307068,64264,13898
KS,Topeka,0.4,141077,29411,6331
MI,Traverse City,0.4,75848,16404,3685
AZ,Tucson,0.4,388448,82624,18212
OK,Tulsa,0.4,428285,89485,19314
MS,Tupelo,0.4,123518,25793,5563
AL,Tuscaloosa,0.4,86078,17796,3792
TX,Tyler,0.4,174872,36978,8095
IL,Urbana,0.4,144705,30117,6470
CA,Ventura,0.4,267873,55630,11919
TX,Victoria,0.4,46021,9714,2122
TX,Waco,0.4,105756,22154,4796
DC,Washington,0.4,871608,180003,38304
IA,Waterloo,0.4,67135,14135,3079
WI,Wausau,0.4,60272,12831,2831
NY,White Plains,0.4,358753,74945,16173
TX,Wichita Falls,0.4,61846,12959,2806
KS,Wichita,0.4,380686,79880,17329
PA,Wilkes-Barre,0.4,79254,16849,3712
DE,Wilmington,0.4,254848,52986,11368
NC,Wilmington,0.4,154035,32747,7214
VA,Winchester,0.4,140096,29443,6399
NC,Winston-Salem,0.4,359945,75887,16555
MA,Worcester,0.4,260954,54222,11625
