State,City,Month,Percentage,Hospital Bed Needed,ICU Bed Needed
MN,St. Cloud,6,0.4,1127,242
MI,St. Joseph,6,0.4,625,137
MO,St. Louis,6,0.4,14858,3207
MN,St. Paul,6,0.4,4716,1003
FL,St. Petersburg,6,0.4,2028,451
CA,Stockton,6,0.4,2551,540
AZ,Sun City,6,0.4,1468,354
NY,Syracuse,6,0.4,4640,1001
WA,Tacoma,6,0.4,3531,750
MD,Takoma Park,6,0.4,4312,908
FL,Tallahassee,6,0.4,3690,787
FL,Tampa,6,0.4,6482,1389
TX,Temple,6,0.4,2228,467
IN,Terre Haute,6,0.4,782,169
AR,Texarkana,6,0.4,1115,243
OH,Toledo,6,0.4,4284,927
KS,Topeka,6,0.4,1961,422
MI,Traverse City,6,0.4,1094,246
AZ,Tucson,6,0.4,5508,1214
OK,Tulsa,6,0.4,5966,1288
MS,Tupelo,6,0.4,1720,371
AL,Tuscaloosa,6,0.4,1186,253
TX,Tyler,6,0.4,2465,540
IL,Urbana,6,0.4,2008,431
CA,Ventura,6,0.4,3709,795
TX,Victoria,6,0.4,648,141
TX,Waco,6,0.4,1477,320
DC,Washington,6,0.4,12000,2554
IA,Waterloo,6,0.4,942,205
WI,Wausau,6,0.4,855,189
NY,White Plains,6,0.4,4996,1078
TX,Wichita Falls,6,0.4,864,187
KS,Wichita,6,0.4,5325,1155
PA,Wilkes-Barre,6,0.4,1123,247
DE,Wilmington,6,0.4,3532,758
NC,Wilmington,6,0.4,2183,481
VA,Winchester,6,0.4,1963,427
NC,Winston-Salem,6,0.4,5059,1104
MA,Worcester,6,0.4,3615,775
WA,Yakima,6,0.4,1223,262
PA,York,6,0.4,1926,419
OH,Youngstown,6,0.4,2816,625
OH,Akron,6,0.6,4587,992
CA,Alameda County,6,0.6,10774,2280
GA,Albany,6,0.6,1310,282
NY,Albany,6,0.6,12442,2709
NM,Albuquerque,6,0.6,11222,2435
LA,Alexandria,6,0.6,1853,400
PA,Allentown,6,0.6,8088,1761
PA,Altoona,6,0.6,1997,441
TX,Amarillo,6,0.6,2761,591
AK,Anchorage,6,0.6,4477,931
MI,Ann Arbor,6,0.6,9273,1988
WI,Appleton,6,0.6,2134,462
VA,Arlington,6,0.6,15539,3245
NC,Asheville,6,0.6,4761,1063
GA,Atlanta,6,0.6,41245,8702
GA,Augusta,6,0.6,4507,971
IL,Aurora,6,0.6,1996,416
TX,Austin,6,0.6,12370,2576
CA,Bakersfield,6,0.6,6907,1446
MD,Baltimore,6,0.6,16757,3595
ME,Bangor,6,0.6,2717,601
LA,Baton Rouge,6,0.6,6159,1308
TX,Beaumont,6,0.6,2977,642
OR,Bend,6,0.6,1623,360
MT,Billings,6,0.6,3993,864
NY,Binghamton,6,0.6,2430,534
AL,Birmingham,6,0.6,14873,3221
ND,Bismarck,6,0.6,1535,334
IL,Bloomington,6,0.6,1321,279
IL,Blue Island,6,0.6,5610,1212
ID,Boise,6,0.6,5842,1256
MA,Boston,6,0.6,33540,7220
CO,Boulder,6,0.6,2193,462
FL,Bradenton,6,0.6,2339,534
CT,Bridgeport,6,0.6,4486,963
NY,Bronx,6,0.6,8968,1888
TX,Bryan,6,0.6,1876,391
NY,Buffalo,6,0.6,9178,1998
VT,Burlington,6,0.6,4368,943
NJ,Camden,6,0.6,18645,4072
OH,Canton,6,0.6,4198,921
MO,Cape Girardeau,6,0.6,1714,375
WY,Casper,6,0.6,1283,278
IA,Cedar Rapids,6,0.6,1968,426
SC,Charleston,6,0.6,7695,1675
WV,Charleston,6,0.6,5533,1220
NC,Charlotte,6,0.6,16728,3561
VA,Charlottesville,6,0.6,4014,872
TN,Chattanooga,6,0.6,4774,1038
IL,Chicago,6,0.6,16706,3506
CA,Chico,6,0.6,2028,444
OH,Cincinnati,6,0.6,10763,2311
FL,Clearwater,6,0.6,3805,865
OH,Cleveland,6,0.6,13526,2953
CO,Colorado Springs,6,0.6,5573,1189
MO,Columbia,6,0.6,4680,1015
SC,Columbia,6,0.6,8136,1751
